*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=outregdisp_v2-groundfloor
*Date=20:17:08
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
354;;;65.6169;-76.6991;0;Bottom;Via342
355;;;48.1544;-88.7641;0;Bottom;Via488
356;;;32.5085;-51.2688;0;Bottom;Via419
357;;;94.1324;-73.4332;0;Bottom;Copper Fill14
358;;;68.1569;-84.0016;0;Bottom;Via462
359;;;8.4836;-2.4783;0;Bottom;Copper Fill259
360;;;63.1698;-9.5903;0;Bottom;Copper Fill35
361;;;38.989;-36.5524;0;Bottom;Copper Fill164
362;;;6.2484;-53.4942;0;Bottom;Copper Fill133
363;;;95.3501;-32.7216;0;Bottom;Via379
364;220;1206 [SMD];22.2395;-81.9016;0;Top;R23
365;;;18.6319;-50.0291;0;Bottom;Via474
366;;;40.6503;-93.2259;0;Bottom;Via163
367;220;1206 [SMD];22.2395;-89.5216;0;Top;R26
368;;;58.4196;-43.6845;0;Bottom;Via360
369;;;80.137;-5.4882;0;Bottom;Copper Fill226
370;;;18.4658;-46.1282;0;Bottom;Copper Fill147
371;;;18.4658;-25.8082;0;Bottom;Copper Fill186
372;;;39.5097;-73.9412;0;Bottom;Copper Fill33
373;;;79.7814;-79.0212;0;Bottom;Copper Fill74
374;;;9.0805;-96.8012;0;Bottom;Copper Fill234
375;;;75.8952;-54.3832;0;Bottom;Copper Fill132
376;;;5.6388;-44.3502;0;Bottom;Copper Fill154
377;;;62.6617;-69.2242;0;Bottom;Via343
378;;;5.6388;-24.0302;0;Bottom;Copper Fill194
379;;;65.6169;-36.0592;0;Bottom;Via384
380;;;92.329;-80.1134;0;Bottom;Copper Fill13
381;;;64.0294;-36.6942;0;Bottom;Via464
382;;;73.7997;-87.327;0;Bottom;Copper Fill46
383;;;63.1698;-9.5903;0;Bottom;Copper Fill265
384;;;86.9442;-37.0604;0;Bottom;Copper Fill167
385;;;86.3346;-83.0344;0;Bottom;Copper Fill10
