*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PC_v2-groundfill
*Date=14:13:06
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
177;;DIP (Dual Inline) [THT];84.856;-69.7141;-90;Bottom;74LS173-3
178;;;3.5814;-40.5148;0;Bottom;Copper Fill68
179;;THT;2.30604;-37.9641;0;Bottom;jmp.cond1
180;;;70.8914;-4.9548;0;Bottom;Copper Fill95
181;;;94.9706;-76.2018;0;Bottom;Copper Fill13
182;;;6.5024;-73.5475;0;Bottom;Copper Fill239
183;;;87.376;-63.4002;0;Bottom;Copper Fill36
184;;;48.7315;-89.8864;0;Bottom;TXT1
185;;;4.8133;-71.833;0;Bottom;Copper Fill240
186;;DIP (Dual Inline) [THT];39.136;-69.7141;-90;Bottom;74LS173-2
187;;;53.1059;-44.3142;0;Bottom;Via305
188;;;18.796;-57.9392;0;Bottom;Copper Fill44
189;;;42.9514;-4.9548;0;Bottom;Copper Fill88
190;;;27.6733;-49.9382;0;Bottom;Copper Fill125
191;;;87.376;-57.9392;0;Bottom;Copper Fill53
192;;;96.2914;-40.5148;0;Bottom;Copper Fill162
193;;THT;63.266;-3.67408;-90;Bottom;J40
194;;;55.6514;-4.9548;0;Bottom;Copper Fill186
195;;;81.0459;-81.1441;0;Bottom;Via288
196;;;71.5209;-28.4392;0;Bottom;Via309
197;;;39.116;-63.4002;0;Bottom;Copper Fill25
198;;;21.336;-60.5046;0;Bottom;Copper Fill22
199;;;25.9588;-47.5379;0;Bottom;Copper Fill128
200;;;95.6056;-78.1068;0;Bottom;Copper Fill11
201;;THT;61.996;-60.8241;-90;Bottom;J35
202;;THT;17.546;-3.67408;-90;Bottom;GND
203;;;93.7006;-38.0256;0;Bottom;Copper Fill164
204;;;27.7114;-4.9548;0;Bottom;Copper Fill82
205;;;94.996;-86.0824;0;Bottom;Copper Fill2
206;;;49.7332;-71.0583;0;Bottom;Copper Fill228
207;;;55.6768;-60.5046;0;Bottom;Copper Fill40
208;;;63.2714;-67.134;0;Bottom;Copper Fill17
209;;;78.5368;-60.5046;0;Bottom;Copper Fill41
210;;;18.796;-63.4002;0;Bottom;Copper Fill21
211;;;53.0733;-72.722;0;Bottom;Copper Fill224
212;;;50.5333;-71.833;0;Bottom;Copper Fill227
213;;THT;84.856;-60.8241;-90;Bottom;J36
214;;;98.3742;-19.5979;0;Bottom;Copper Fill198
215;;;58.1859;-86.2241;0;Bottom;Via292
216;;;75.8825;-74.3984;0;Bottom;Copper Fill117
217;;;21.3559;-87.4941;0;Bottom;Via300
218;;;97.4725;-18.7216;0;Bottom;Copper Fill196
219;;THT;2.30604;-63.3641;0;Bottom;CLK
220;;THT;74.061;-23.3591;180;Bottom;flags5
221;;;27.6733;-71.833;0;Bottom;Copper Fill132
222;;;29.3624;-73.5475;0;Bottom;Copper Fill130
223;;;71.7804;-31.7518;0;Bottom;Copper Fill175
224;;;84.7725;-2.8466;0;Bottom;Copper Fill204
225;;;89.2429;-38.2796;0;Bottom;Copper Fill103
226;;;4.8133;-71.833;0;Bottom;Copper Fill135
227;;;96.266;-82.2724;0;Bottom;Copper Fill7
228;100nF;100 mil [THT, multilayer];73.426;-69.7141;-90;Bottom;C14
229;;;84.074;-45.8488;0;Bottom;Copper Fill66
230;;;67.056;-60.5046;0;Bottom;Copper Fill32
231;;;49.9364;-49.9636;0;Bottom;Copper Fill74
232;;;15.0114;-4.9548;0;Bottom;Copper Fill79
233;;;51.308;-50.7383;0;Bottom;Copper Fill220
234;;;84.836;-57.9392;0;Bottom;Copper Fill52
235;;;59.436;-57.9392;0;Bottom;Copper Fill48
236;;;60.7314;-4.9548;0;Bottom;Copper Fill188
237;;;86.9696;-46.1536;0;Bottom;Copper Fill67
238;;;68.3514;-4.9548;0;Bottom;Copper Fill191
239;;;7.3533;-74.4238;0;Bottom;Copper Fill133
240;;;97.556;-97.0191;0;Bottom;Hole27
241;;THT;35.326;-3.67408;-90;Bottom;J39
242;;;88.6659;-77.3342;0;Bottom;Via285
243;;;98.3742;-19.5979;0;Bottom;Copper Fill101
244;;;83.5914;-4.9548;0;Bottom;Copper Fill195
245;;;96.2914;-37.9748;0;Bottom;Copper Fill71
246;;;54.356;-84.9648;0;Bottom;Copper Fill137
247;;;30.2133;-74.4238;0;Bottom;Copper Fill129
248;;;63.2714;-4.9548;0;Bottom;Copper Fill189
249;;THT;39.136;-60.8241;-90;Bottom;J34
250;;;22.6259;-86.2241;0;Bottom;Via299
251;;;35.3314;-4.9548;0;Bottom;Copper Fill85
252;;;62.611;-26.9004;0;Bottom;Copper Fill62
253;;;81.5086;-45.7726;0;Bottom;Copper Fill65
254;;;65.8114;-4.9548;0;Bottom;Copper Fill190
255;100nF;100 mil [THT, multilayer];4.84604;-51.9341;-90;Bottom;C15
256;;;94.5516;-25.3645;0;Bottom;TXT3
257;;;82.2325;-7.1646;0;Bottom;Copper Fill109
258;100nF;100 mil [THT, multilayer];50.566;-51.9341;-90;Bottom;C16
259;;;60.071;-26.9004;0;Bottom;Copper Fill61
260;;;79.6925;-7.1646;0;Bottom;Copper Fill215
261;;;55.626;-86.2348;0;Bottom;Copper Fill136
262;;;51.308;-71.0583;0;Bottom;Copper Fill229
263;;;25.908;-26.9004;0;Bottom;Copper Fill56
264;;;64.516;-63.4002;0;Bottom;Copper Fill31
265;;;74.168;-71.0583;0;Bottom;Copper Fill223
266;;;40.4114;-4.9548;0;Bottom;Copper Fill184
267;;;63.2659;-83.6841;0;Bottom;Via290
268;;;50.4952;-60.8348;0;Bottom;Copper Fill28
269;;;23.368;-26.9004;0;Bottom;Copper Fill55
270;;;84.836;-63.4002;0;Bottom;Copper Fill35
271;;;28.448;-71.0583;0;Bottom;Copper Fill237
272;;;65.659;-7.5456;0;Bottom;Copper Fill78
273;;;74.7014;-39.6766;0;Bottom;Copper Fill159
274;;;98.3742;-22.1379;0;Bottom;Copper Fill200
275;;;67.056;-51.9448;0;Bottom;Copper Fill154
276;;;16.256;-57.9392;0;Bottom;Copper Fill43
277;;;96.5962;-22.1379;0;Bottom;Copper Fill199
278;;;85.6742;-3.7483;0;Bottom;Copper Fill205
279;;THT;2.30604;-58.2841;0;Bottom;CNT
280;;THT;97.556;-37.9641;0;Bottom;flags6
281;;;88.3412;-37.3779;0;Bottom;Copper Fill203
282;;;3.5814;-37.9748;0;Bottom;Copper Fill165
283;;;96.2914;-37.9748;0;Bottom;Copper Fill166
284;;;39.3954;-26.6972;0;Bottom;Copper Fill173
285;;THT;2.30604;-76.0641;0;Bottom;LOAD-HIGH
286;;;82.2325;-2.8466;0;Bottom;Copper Fill206
287;;;91.5162;-75.4398;0;Bottom;Copper Fill14
288;;;85.6742;-6.2883;0;Bottom;Copper Fill208
289;;;4.0132;-71.0583;0;Bottom;Copper Fill241
290;;;7.3533;-72.722;0;Bottom;Copper Fill238
291;;;57.531;-26.9004;0;Bottom;Copper Fill60
292;;;58.1914;-4.9548;0;Bottom;Copper Fill90
293;;;73.3933;-71.833;0;Bottom;Copper Fill221
294;;;40.4059;-82.4141;0;Bottom;Via296
295;;;83.5914;-4.9548;0;Bottom;Copper Fill98
296;;THT;2.30604;-60.8241;0;Bottom;RESET
297;;;37.8714;-4.9548;0;Bottom;Copper Fill183
298;;;68.3514;-4.9548;0;Bottom;Copper Fill94
299;;;85.6742;-6.2883;0;Bottom;Copper Fill107
300;;;81.0514;-4.9548;0;Bottom;Copper Fill97
301;;;39.116;-57.9392;0;Bottom;Copper Fill46
302;;;82.296;-63.4002;0;Bottom;Copper Fill34
303;;THT;63.266;-6.21408;-90;Bottom;J38
304;;;27.7114;-69.674;0;Bottom;Copper Fill146
305;;;40.386;-67.134;0;Bottom;Copper Fill16
306;;;97.556;-3.03908;0;Bottom;Hole25
307;;;70.8914;-4.9548;0;Bottom;Copper Fill192
308;;;96.5962;-19.5979;0;Bottom;Copper Fill197
309;;;5.1816;-58.9298;0;Bottom;Copper Fill149
310;;;65.8059;-82.4141;0;Bottom;Via289
311;;;85.4964;-56.72;0;Bottom;Copper Fill150
312;;;35.3314;-4.9548;0;Bottom;Copper Fill182
313;;;60.7314;-4.9548;0;Bottom;Copper Fill91
314;;;13.716;-63.4002;0;Bottom;Copper Fill19
315;;;39.8526;-26.9004;0;Bottom;Copper Fill58
316;;;55.6514;-4.9548;0;Bottom;Copper Fill89
317;;;77.1525;-2.8466;0;Bottom;Copper Fill112
318;;;32.8168;-60.5046;0;Bottom;Copper Fill39
